"GEOID","NAME","UATYPE","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","clusters"
22177,"Dansville, NY Urban Cluster","C",8507817,0,3.285,0,42.562575,-77.700673,1
22204,"Danville, IL Urbanized Area","U",77200214,2020809,29.807,0.78,40.118599,-87.633119,1
22231,"Danville, KY Urban Cluster","C",38489316,171400,14.861,0.066,37.630164,-84.773308,1
22253,"Danville, VA--NC Urban Cluster","C",107938451,1103240,41.675,0.426,36.609291,-79.411192,1
22285,"Daphne--Fairhope, AL Urbanized Area","U",143100196,595558,55.251,0.23,30.597318,-87.837227,1
22301,"Darbydale, OH Urban Cluster","C",16303914,367133,6.295,0.142,39.815503,-83.165765,1
22312,"Darien, GA Urban Cluster","C",8072947,61571,3.117,0.024,31.385138,-81.422374,1
22366,"Davenport, IA--IL Urbanized Area","U",357848340,21282299,138.166,8.217,41.517262,-90.512939,1
22393,"David City, NE Urban Cluster","C",3371011,4954,1.302,0.002,41.255569,-97.126392,1
22420,"Davis, CA Urbanized Area","U",36567536,90331,14.119,0.035,38.553373,-121.738186,15
22427,"Davis, OK Urban Cluster","C",4144580,5719,1.6,0.002,34.500734,-97.115753,1
22435,"Davis Junction, IL Urban Cluster","C",5662881,0,2.186,0,42.095324,-89.084378,1
22447,"Dawson, GA Urban Cluster","C",5673736,0,2.191,0,31.773622,-84.439882,1
22501,"Dayton, NV Urban Cluster","C",16283712,3839,6.287,0.001,39.291252,-119.533488,15
22528,"Dayton, OH Urbanized Area","U",910154649,5234361,351.413,2.021,39.754825,-84.16816,1
22555,"Dayton, TN Urban Cluster","C",23522425,601110,9.082,0.232,35.488876,-85.015979,1
22582,"Dayton, TX Urban Cluster","C",27861195,206249,10.757,0.08,30.067841,-94.892386,1
22609,"Dayton, WA Urban Cluster","C",3724091,0,1.438,0,46.317706,-117.97792,19
22690,"Decatur, AL Urbanized Area","U",151020706,3804734,58.309,1.469,34.559441,-87.001129,1
22717,"Decatur, IL Urbanized Area","U",153236104,7905470,59.165,3.052,39.845729,-88.937174,1
22744,"Decatur, IN Urban Cluster","C",17743695,52005,6.851,0.02,40.827785,-84.928326,1
22771,"Decatur, TX Urban Cluster","C",13072997,0,5.048,0,33.229557,-97.590717,1
22798,"Decorah, IA Urban Cluster","C",13403478,47090,5.175,0.018,43.304283,-91.782584,1
22811,"Dededo--Machanao--Apotgan, GU Urban Cluster","C",156561988,137543,60.449,0.053,13.487743,144.812921,5
22825,"Deer Lodge, MT Urban Cluster","C",3811883,0,1.472,0,46.397941,-112.732302,13
22852,"Deer Park, WA Urban Cluster","C",4992636,0,1.928,0,47.955903,-117.468639,34
22864,"Deerwood, TX Urban Cluster","C",7007546,20270,2.706,0.008,30.317181,-95.305325,1
22879,"Defiance, OH Urban Cluster","C",34981281,1281624,13.506,0.495,41.28448,-84.355116,1
22933,"De Funiak Springs, FL Urban Cluster","C",17558223,691086,6.779,0.267,30.733743,-86.130341,1
22960,"DeKalb, IL Urbanized Area","U",66745709,688301,25.771,0.266,41.954758,-88.726171,1
22987,"Delano, CA Urbanized Area","U",25684858,0,9.917,0,35.773324,-119.265874,15
22995,"Delano, MN Urban Cluster","C",7684899,0,2.967,0,45.038421,-93.787214,1
23041,"Delavan, WI Urban Cluster","C",20057129,568029,7.744,0.219,42.621413,-88.638026,1
23095,"Delhi, LA Urban Cluster","C",4506345,0,1.74,0,32.455148,-91.491778,1
23102,"Delhi, NY Urban Cluster","C",3545831,42648,1.369,0.016,42.283366,-74.919801,1
23122,"Dell Rapids, SD Urban Cluster","C",3767418,0,1.455,0,43.827668,-96.716352,1
23149,"Delphi, IN Urban Cluster","C",4239339,38981,1.637,0.015,40.58743,-86.677046,1
23176,"Delphos, OH Urban Cluster","C",10818744,34836,4.177,0.013,40.839254,-84.341976,1
23203,"Del Rio, TX Urban Cluster","C",50267665,190038,19.408,0.073,29.369159,-100.881893,3
23230,"Delta, CO Urban Cluster","C",14706250,101176,5.678,0.039,38.746594,-108.061647,6
23257,"Delta, OH Urban Cluster","C",4456117,1933,1.721,0.001,41.575599,-83.999517,1
23284,"Delta, UT Urban Cluster","C",4962102,0,1.916,0,39.352946,-112.573478,23
23311,"Deltona, FL Urbanized Area","U",249745341,9699814,96.427,3.745,28.991713,-81.261439,1
23338,"Deming, NM Urban Cluster","C",21491448,0,8.298,0,32.266333,-107.752264,22
23365,"Demopolis, AL Urban Cluster","C",13114040,112165,5.063,0.043,32.50599,-87.828146,1
23392,"De Motte, IN Urban Cluster","C",9233482,591,3.565,0,41.192569,-87.211425,1
23419,"Denison, IA Urban Cluster","C",11192083,15184,4.321,0.006,42.018103,-95.347389,1
23446,"Denmark, SC Urban Cluster","C",7029843,0,2.714,0,33.317242,-81.137062,1
23473,"Denton, MD Urban Cluster","C",11791871,123015,4.553,0.047,38.872302,-75.819755,1
23500,"Denton--Lewisville, TX Urbanized Area","U",376161197,7210620,145.237,2.784,33.093039,-97.066276,1
23513,"Denton Southwest, TX Urban Cluster","C",10175042,48329,3.929,0.019,33.126483,-97.240161,1
23527,"Denver--Aurora, CO Urbanized Area","U",1729184437,35340647,667.642,13.645,39.710774,-104.955096,6
23554,"Denver City, TX Urban Cluster","C",6702754,0,2.588,0,32.967345,-102.835102,3
23608,"De Queen, AR Urban Cluster","C",10869092,33836,4.197,0.013,34.043394,-94.343051,1
23635,"DeQuincy, LA Urban Cluster","C",12480269,0,4.819,0,30.453766,-93.438732,1
23662,"DeRidder, LA Urban Cluster","C",42711464,250374,16.491,0.097,30.856066,-93.294939,1
23689,"Dermott, AR Urban Cluster","C",5064930,0,1.956,0,33.525411,-91.438467,1
23716,"Desert Hot Springs, CA Urban Cluster","C",42740153,248358,16.502,0.096,33.944941,-116.497618,15
23743,"Des Moines, IA Urbanized Area","U",519346447,4463252,200.521,1.723,41.619352,-93.656127,1
23770,"De Soto, KS Urban Cluster","C",9821065,130967,3.792,0.051,38.968024,-94.962657,1
23797,"De Soto, MO Urban Cluster","C",10503907,332964,4.056,0.129,38.124145,-90.562573,1
23824,"Detroit, MI Urbanized Area","U",3461303044,93844489,1336.417,36.234,42.489752,-83.227211,1
23851,"Detroit Lakes, MN Urban Cluster","C",14986276,12375953,5.786,4.778,46.799843,-95.829649,1
23878,"Devils Lake, ND Urban Cluster","C",8419052,14837,3.251,0.006,48.110226,-98.858122,1
23905,"Devine, TX Urban Cluster","C",11313070,35575,4.368,0.014,29.148347,-98.897989,1
23959,"DeWitt, AR Urban Cluster","C",5676710,0,2.192,0,34.290293,-91.338117,1
23986,"De Witt, IA Urban Cluster","C",5490637,0,2.12,0,41.82412,-90.546675,1
24013,"Dexter, MO Urban Cluster","C",15101947,31362,5.831,0.012,36.792409,-89.968991,1
24040,"Diamondhead, MS Urban Cluster","C",13882988,135131,5.36,0.052,30.394333,-89.365506,1
24067,"Diboll, TX Urban Cluster","C",7788939,104745,3.007,0.04,31.190929,-94.781829,1
24094,"Dickinson, ND Urban Cluster","C",19559946,28969,7.552,0.011,46.885456,-102.786789,53
24121,"Dickson, TN Urban Cluster","C",44554867,153619,17.203,0.059,36.060236,-87.364102,1
24148,"Dilley, TX Urban Cluster","C",5150869,0,1.989,0,28.669807,-99.177396,1
24175,"Dillon, MT Urban Cluster","C",5855465,0,2.261,0,45.227448,-112.630945,13
24202,"Dillon, SC Urban Cluster","C",18494297,101379,7.141,0.039,34.41733,-79.359693,1
24229,"Dimmitt, TX Urban Cluster","C",5159889,105987,1.992,0.041,34.548219,-102.317203,3
24256,"Discovery Bay, CA Urban Cluster","C",12078296,1276479,4.663,0.493,37.902207,-121.611672,15
24283,"Dixon, CA Urban Cluster","C",16113158,6653,6.221,0.003,38.444983,-121.834573,15
24310,"Dixon, IL Urban Cluster","C",25524689,938058,9.855,0.362,41.852951,-89.481744,1
24329,"Dodge Center, MN Urban Cluster","C",3988693,0,1.54,0,44.030104,-92.855092,1
24337,"Dodge City, KS Urban Cluster","C",27889359,272373,10.768,0.105,37.756788,-100.011964,1
24364,"Dodgeville, WI Urban Cluster","C",7905989,0,3.053,0,42.965515,-90.130641,1
24391,"Donaldsonville, LA Urban Cluster","C",41339269,2519759,15.961,0.973,30.072851,-90.923284,1
24418,"Donalsonville, GA Urban Cluster","C",7603893,120109,2.936,0.046,31.04095,-84.874312,1
24433,"Dorr, MI Urban Cluster","C",14211655,27483,5.487,0.011,42.718041,-85.734434,1
24445,"Dos Palos, CA Urban Cluster","C",5501809,0,2.124,0,36.978163,-120.633707,15
24472,"Dothan, AL Urbanized Area","U",143752908,308680,55.503,0.119,31.22612,-85.425301,1
24499,"Douglas, AZ Urban Cluster","C",14681111,0,5.668,0,31.350383,-109.543214,17
24526,"Douglas, GA Urban Cluster","C",31068795,542636,11.996,0.21,31.511685,-82.84868,1
24539,"Douglas, MI Urban Cluster","C",7327349,130134,2.829,0.05,42.649643,-86.197091,1
24553,"Douglas, WY Urban Cluster","C",8348764,23518,3.223,0.009,42.753293,-105.3831,6
24580,"Dover, DE Urbanized Area","U",192000317,1885136,74.132,0.728,39.141241,-75.543496,1
24607,"Dover--Rochester, NH--ME Urbanized Area","U",172025675,5552539,66.419,2.144,43.226306,-70.899625,1
24634,"Dowagiac, MI Urban Cluster","C",9032421,88865,3.487,0.034,41.982547,-86.108166,1
24646,"Downs, IL Urban Cluster","C",5612187,2268,2.167,0.001,40.411118,-88.887834,1
24688,"Dryden, NY Urban Cluster","C",10238338,49583,3.953,0.019,42.475045,-76.293878,1
24715,"Dublin, GA Urban Cluster","C",58123906,543819,22.442,0.21,32.53722,-82.919988,1
24769,"Dublin, TX Urban Cluster","C",5680905,0,2.193,0,32.088665,-98.342338,1
24796,"DuBois, PA Urban Cluster","C",17602061,139722,6.796,0.054,41.11929,-78.76262,1
24823,"Dubuque, IA--IL Urbanized Area","U",87473131,822803,33.774,0.318,42.506218,-90.691071,1
24850,"Duluth, MN--WI Urbanized Area","U",182546140,22604576,70.481,8.728,46.765574,-92.12902,1
24877,"Dumas, AR Urban Cluster","C",7912214,0,3.055,0,33.884793,-91.486833,1
24904,"Dumas, TX Urban Cluster","C",14665957,0,5.663,0,35.868372,-101.965714,3
24931,"Duncan, OK Urban Cluster","C",30410658,152410,11.742,0.059,34.515253,-97.962302,1
24958,"Dundee, MI Urban Cluster","C",6428795,90764,2.482,0.035,41.95782,-83.660254,1
24985,"Dunkirk, IN Urban Cluster","C",5350707,0,2.066,0,40.363795,-85.184488,1
25012,"Dunkirk--Fredonia, NY Urban Cluster","C",36307544,34715,14.018,0.013,42.460506,-79.339732,1
25025,"Dunlap, TN Urban Cluster","C",11348335,0,4.382,0,35.377171,-85.388175,1
25039,"Dunn, NC Urban Cluster","C",29047243,36812,11.215,0.014,35.317523,-78.636505,1
25093,"Du Quoin, IL Urban Cluster","C",11643554,184675,4.496,0.071,38.017557,-89.232631,1
25120,"Durand, MI Urban Cluster","C",8420441,14006,3.251,0.005,42.907955,-83.985164,1
25147,"Durango, CO Urban Cluster","C",24157960,85392,9.327,0.033,37.289287,-107.869874,6
25174,"Durant, MS Urban Cluster","C",3806313,0,1.47,0,33.079138,-89.856737,1
25201,"Durant, OK Urban Cluster","C",26250980,36865,10.136,0.014,33.999943,-96.393378,1
25228,"Durham, NC Urbanized Area","U",470795672,3853814,181.775,1.488,35.980955,-78.947743,1
25255,"Dwight, IL Urban Cluster","C",8758848,0,3.382,0,41.095206,-88.435536,1
25282,"Dyer, TN Urban Cluster","C",6548978,0,2.529,0,36.074642,-89.004537,1
25309,"Dyersburg, TN Urban Cluster","C",42582042,261467,16.441,0.101,36.06071,-89.358888,1
25336,"Dyersville, IA Urban Cluster","C",6708002,0,2.59,0,42.479999,-91.117237,1
25363,"Eagar, AZ Urban Cluster","C",16104675,10540,6.218,0.004,34.111854,-109.286531,17
25390,"Eagle, CO Urban Cluster","C",6360365,43646,2.456,0.017,39.644584,-106.82626,6
25417,"Eagle Grove, IA Urban Cluster","C",3574233,0,1.38,0,42.664604,-93.90382,1
25444,"Eagle Lake, TX Urban Cluster","C",5503890,11319,2.125,0.004,29.586844,-96.331945,1
25480,"Eagle Mountain South, UT Urban Cluster","C",4941506,0,1.908,0,40.30801,-112.00679,47
25498,"Eagle Pass, TX Urban Cluster","C",52038862,253095,20.092,0.098,28.701708,-100.471173,3
25579,"Earlimart, CA Urban Cluster","C",13034355,0,5.033,0,35.923815,-119.278771,15
25598,"East Aurora, NY Urban Cluster","C",22156458,61411,8.555,0.024,42.779875,-78.598786,1
25660,"Eastland, TX Urban Cluster","C",4237237,0,1.636,0,32.398199,-98.825386,1
25687,"East Liverpool, OH--WV--PA Urban Cluster","C",62954676,3060519,24.307,1.182,40.643542,-80.571376,1
25714,"Eastman, GA Urban Cluster","C",14617354,135191,5.644,0.052,32.194206,-83.177141,1
25741,"Easton, MD Urban Cluster","C",24834614,208691,9.589,0.081,38.76689,-76.065514,1
25768,"East Palestine, OH Urban Cluster","C",8437861,0,3.258,0,40.838978,-80.541664,1
25795,"East Prairie, MO Urban Cluster","C",5251722,0,2.028,0,36.775651,-89.383252,1
25802,"East Prospect, PA Urban Cluster","C",6255620,0,2.415,0,39.952124,-76.506388,1
25813,"East Quincy, CA Urban Cluster","C",5763784,0,2.225,0,39.945309,-120.932845,15
25849,"East Stroudsburg, PA--NJ Urbanized Area","U",134999669,1259732,52.124,0.486,41.022688,-75.213377,1
25876,"East Tawas, MI Urban Cluster","C",8157585,0,3.15,0,44.284562,-83.492975,1
25903,"East Troy, WI Urban Cluster","C",6312018,0,2.437,0,42.790992,-88.403791,1
25930,"Eaton, CO Urban Cluster","C",3893283,0,1.503,0,40.529429,-104.713825,6
25957,"Eaton, OH Urban Cluster","C",10129883,19264,3.911,0.007,39.748358,-84.635603,1
25984,"Eaton Rapids, MI Urban Cluster","C",10334785,310138,3.99,0.12,42.505596,-84.65451,1
26011,"Eatonton, GA Urban Cluster","C",8572625,0,3.31,0,33.328561,-83.388048,1
26024,"Eatonville, WA Urban Cluster","C",4075184,12409,1.573,0.005,46.868226,-122.270205,2
26038,"Eau Claire, WI Urbanized Area","U",178669719,12382965,68.985,4.781,44.860859,-91.447203,1
26065,"Ebensburg, PA Urban Cluster","C",7359659,93310,2.842,0.036,40.484465,-78.733571,1
26092,"Eden, NC Urban Cluster","C",46333871,395964,17.89,0.153,36.502122,-79.744547,1
26119,"Edenton, NC Urban Cluster","C",7935629,175551,3.064,0.068,36.065841,-76.613077,1
26146,"Edgefield, SC Urban Cluster","C",7071177,47298,2.73,0.018,33.785197,-81.925195,1
26173,"Edgerton, WI Urban Cluster","C",13322574,485619,5.144,0.187,42.838856,-89.05599,1
26200,"Edgewood, NM Urban Cluster","C",13968124,0,5.393,0,35.068313,-106.183534,6
26227,"Edinboro, PA Urban Cluster","C",7244005,190424,2.797,0.074,41.876696,-80.129846,1
26254,"Edna, TX Urban Cluster","C",8724324,0,3.368,0,28.975111,-96.650065,1
26275,"Edwards, CO Urban Cluster","C",22005198,404188,8.496,0.156,39.644737,-106.564801,6
26308,"Effingham, IL Urban Cluster","C",22187752,75128,8.567,0.029,39.120894,-88.540198,1
26345,"Eielson AFB, AK Urban Cluster","C",16136045,607645,6.23,0.235,64.666431,-147.097017,54
26362,"Elberton, GA Urban Cluster","C",13517576,41961,5.219,0.016,34.109944,-82.869663,1
26389,"El Campo, TX Urban Cluster","C",16203743,19537,6.256,0.008,29.198508,-96.276623,1
26416,"El Centro--Calexico, CA Urbanized Area","U",77833587,45518,30.052,0.018,32.769055,-115.546349,35
26443,"Eldon, MO Urban Cluster","C",6893328,0,2.662,0,38.351041,-92.577313,1
26470,"El Dorado, AR Urban Cluster","C",39272034,0,15.163,0,33.208572,-92.662966,1
26497,"Eldorado, IL Urban Cluster","C",9458183,38715,3.652,0.015,37.815688,-88.439956,1
26524,"El Dorado, KS Urban Cluster","C",23410553,11949,9.039,0.005,37.815098,-96.85048,1
26551,"Eldorado at Santa Fe, NM Urban Cluster","C",18915064,0,7.303,0,35.5371,-105.92963,6
26578,"El Dorado Springs, MO Urban Cluster","C",4952679,2869,1.912,0.001,37.869789,-94.023114,1
26632,"Electra, TX Urban Cluster","C",4299096,0,1.66,0,34.030774,-98.919105,1
26659,"Elgin, TX Urban Cluster","C",12340948,0,4.765,0,30.349494,-97.37912,1
26686,"Elizabeth City, NC Urban Cluster","C",43981567,785,16.981,0,36.297071,-76.233278,1
26713,"Elizabethtown, NC Urban Cluster","C",6373641,0,2.461,0,34.625482,-78.616196,1
26750,"Elizabethtown--Radcliff, KY Urbanized Area","U",147348534,1296187,56.892,0.5,37.788405,-85.92103,1
26767,"Elk City, OK Urban Cluster","C",16698716,0,6.447,0,35.406822,-99.413339,1
26794,"Elkhart, IN--MI Urbanized Area","U",237930584,7557933,91.866,2.918,41.658247,-85.926438,1
26821,"Elkhorn, WI Urban Cluster","C",26638898,170180,10.285,0.066,42.692374,-88.538204,1
26848,"Elkin, NC Urban Cluster","C",17232175,68516,6.653,0.026,36.248754,-80.852281,1
26875,"Elkins, WV Urban Cluster","C",15842173,0,6.117,0,38.934469,-79.846002,1
26902,"Elko, NV Urban Cluster","C",26579288,0,10.262,0,40.836778,-115.772816,55
26912,"Elko New Market, MN Urban Cluster","C",5913802,0,2.283,0,44.566013,-93.333923,1
26956,"Elkton, VA Urban Cluster","C",8152278,52671,3.148,0.02,38.404182,-78.628305,1
26983,"Ellensburg, WA Urban Cluster","C",22931890,0,8.854,0,47.001258,-120.53555,26
27010,"Ellenville, NY Urban Cluster","C",8234982,12509,3.18,0.005,41.730481,-74.387697,1
27037,"Ellijay, GA Urban Cluster","C",13119250,0,5.065,0,34.683566,-84.486367,1
27064,"Ellsworth, KS Urban Cluster","C",3388789,0,1.308,0,38.733878,-98.227915,1
27070,"Ellsworth, ME Urban Cluster","C",7225146,90163,2.79,0.035,44.538621,-68.427748,1
27076,"Ellsworth, WI Urban Cluster","C",5951165,728,2.298,0,44.733436,-92.482438,1
27085,"Ellwood City, PA Urban Cluster","C",15997232,497583,6.177,0.192,40.853149,-80.268213,1
27118,"Elmira, NY Urbanized Area","U",97900452,1346077,37.8,0.52,42.071566,-76.809034,1
27172,"Elmwood, IL Urban Cluster","C",4609106,0,1.78,0,40.776335,-89.969943,1
27199,"Eloy, AZ Urban Cluster","C",7957284,7374,3.072,0.003,32.750881,-111.562575,17
27226,"El Paso, IL Urban Cluster","C",4141670,0,1.599,0,40.739999,-89.014602,1
27253,"El Paso, TX--NM Urbanized Area","U",649235960,2974177,250.671,1.148,31.780239,-106.389031,8
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area","U",82104777,146540,31.701,0.057,35.453541,-120.633753,15
27280,"El Reno, OK Urban Cluster","C",18477127,2157,7.134,0.001,35.522928,-97.958573,1
27290,"Elroy, TX Urban Cluster","C",11302350,0,4.364,0,30.128208,-97.592673,1
27300,"Elverson, PA Urban Cluster","C",7411877,29195,2.862,0.011,40.154279,-75.865131,1
27307,"Elwood, IN Urban Cluster","C",13452179,0,5.194,0,40.274226,-85.839502,1
27334,"Ely, MN Urban Cluster","C",7012952,13787,2.708,0.005,47.905099,-91.853013,1
27361,"Ely, NV Urban Cluster","C",6594761,0,2.546,0,39.248049,-114.874543,56
27372,"Emajagua, PR Urban Cluster","C",14250821,3536,5.502,0.001,18.010928,-65.911486,4
27380,"Emerald Bay, TX Urban Cluster","C",11383643,333362,4.395,0.129,32.148264,-95.436497,1
27442,"Emmetsburg, IA Urban Cluster","C",4856533,0,1.875,0,43.113791,-94.683238,1
27469,"Emmett, ID Urban Cluster","C",14633536,99602,5.65,0.038,43.877758,-116.487409,33
27496,"Emmitsburg, MD--PA Urban Cluster","C",13381345,20187,5.167,0.008,39.723106,-77.360676,1
27523,"Emporia, KS Urban Cluster","C",28728222,499082,11.092,0.193,38.4114,-96.19078,1
27550,"Emporia, VA Urban Cluster","C",14984908,19986,5.786,0.008,36.698482,-77.545666,1
27577,"Emporium, PA Urban Cluster","C",3532998,218920,1.364,0.085,41.510729,-78.243422,1
27592,"Enfield, NC Urban Cluster","C",3435501,0,1.326,0,36.179194,-77.67075,1
27604,"England, AR Urban Cluster","C",3947394,0,1.524,0,34.54606,-91.964499,1
27631,"Enid, OK Urban Cluster","C",62146213,31297,23.995,0.012,36.401999,-97.89186,1
27658,"Ennis, TX Urban Cluster","C",25307327,203889,9.771,0.079,32.332346,-96.630807,1
27685,"Enterprise, AL Urban Cluster","C",92123187,151495,35.569,0.058,31.328965,-85.794087,1
27712,"Ephraim, UT Urban Cluster","C",5702821,0,2.202,0,39.357377,-111.581384,47
27739,"Ephrata, WA Urban Cluster","C",7519490,0,2.903,0,47.312648,-119.550208,26
27750,"Epping, NH Urban Cluster","C",11650718,0,4.498,0,43.039743,-71.067012,1
27766,"Erie, PA Urbanized Area","U",212929183,309038,82.212,0.119,42.08554,-80.114855,1
27793,"Erwin, TN Urban Cluster","C",16814021,117653,6.492,0.045,36.143997,-82.408735,1
27820,"Escalon, CA Urban Cluster","C",5098785,0,1.969,0,37.792464,-120.995505,15
27847,"Escanaba, MI Urban Cluster","C",46488557,283456,17.949,0.109,45.727457,-87.082446,1
27874,"Espanola, NM Urban Cluster","C",74066389,629277,28.597,0.243,35.986739,-106.085246,6
27885,"Esparto, CA Urban Cluster","C",4229346,0,1.633,0,38.695279,-122.019465,15
27901,"Estacada, OR Urban Cluster","C",7368822,40488,2.845,0.016,45.298665,-122.333397,2
27928,"Estes Park, CO Urban Cluster","C",19406188,48606,7.493,0.019,40.363508,-105.518915,6
27955,"Estherville, IA Urban Cluster","C",7461183,0,2.881,0,43.404042,-94.834568,1
27991,"Estrella, AZ Urban Cluster","C",18893162,0,7.295,0,33.328768,-112.442969,17
28009,"Etowah, TN Urban Cluster","C",8903243,0,3.438,0,35.337425,-84.525157,1
28063,"Eudora, KS Urban Cluster","C",6497119,107100,2.509,0.041,38.934959,-95.096968,1
28090,"Eufaula, AL--GA Urban Cluster","C",19290334,1481435,7.448,0.572,31.879574,-85.141788,1
28117,"Eugene, OR Urbanized Area","U",224451618,982581,86.661,0.379,44.065995,-123.076636,2
28144,"Eunice, LA Urban Cluster","C",21884392,78619,8.45,0.03,30.491126,-92.419264,1
28171,"Eunice, NM Urban Cluster","C",2958864,0,1.142,0,32.439465,-103.159051,3
28198,"Eureka, CA Urban Cluster","C",47917219,4073311,18.501,1.573,40.777356,-124.169828,16
28225,"Eureka, IL Urban Cluster","C",6752564,124405,2.607,0.048,40.713988,-89.274949,1
28252,"Eureka, KS Urban Cluster","C",3821322,0,1.475,0,37.823741,-96.290839,1
28262,"Eureka, MO Urban Cluster","C",25481413,227,9.838,0,38.499469,-90.632649,1
28306,"Evanston, WY Urban Cluster","C",18203896,90192,7.029,0.035,41.260088,-110.963739,47
28333,"Evansville, IN--KY Urbanized Area","U",307696852,3246324,118.802,1.253,37.978539,-87.537393,1
28360,"Evansville, WI Urban Cluster","C",7977645,0,3.08,0,42.777846,-89.296179,1
28387,"Evarts, KY Urban Cluster","C",3860310,217595,1.49,0.084,36.862543,-83.204061,1
28414,"Everett, PA Urban Cluster","C",4966540,48381,1.918,0.019,40.013306,-78.373013,1
28431,"Evergreen, AL Urban Cluster","C",5599527,9861,2.162,0.004,31.429395,-86.95576,1
28441,"Evergreen, CO Urban Cluster","C",35209518,233872,13.594,0.09,39.658971,-105.311342,6
28468,"Everson, WA Urban Cluster","C",7963223,120869,3.075,0.047,48.908535,-122.346098,2
28495,"Excelsior Springs, MO Urban Cluster","C",18032700,136561,6.962,0.053,39.344176,-94.233468,1
28522,"Fabens, TX Urban Cluster","C",4336906,5386,1.674,0.002,31.505886,-106.153246,8
28549,"Fairbanks, AK Urbanized Area","U",142781615,4397656,55.128,1.698,64.846292,-147.711366,57
28576,"Fairbury, IL Urban Cluster","C",3805389,0,1.469,0,40.746233,-88.512996,1
28603,"Fairbury, NE Urban Cluster","C",5206044,0,2.01,0,40.142345,-97.177569,1
28624,"Fairdale, PA Urban Cluster","C",9122618,15557,3.522,0.006,39.883491,-79.961893,1
28657,"Fairfield, CA Urbanized Area","U",102208551,339049,39.463,0.131,38.259143,-122.036061,15
28684,"Fairfield, IL Urban Cluster","C",7409989,57661,2.861,0.022,38.380474,-88.369217,1
28711,"Fairfield, IA Urban Cluster","C",17839379,346137,6.888,0.134,41.009422,-91.95404,1
28738,"Fairfield, TX Urban Cluster","C",11872138,0,4.584,0,31.725269,-96.16908,1
28765,"Fairfield Glade, TN Urban Cluster","C",16193506,1598190,6.252,0.617,36.031454,-84.87053,1
28782,"Fairfield Harbour, NC Urban Cluster","C",5869004,362648,2.266,0.14,35.078938,-76.970761,1
28819,"Fair Haven, VT Urban Cluster","C",8707570,49030,3.362,0.019,43.602144,-73.240217,1
28846,"Fairmont, MN Urban Cluster","C",16670390,4772910,6.436,1.843,43.640051,-94.466611,1
28860,"Fairmont, NC Urban Cluster","C",5004454,0,1.932,0,34.496694,-79.116052,1
28873,"Fairmont, WV Urban Cluster","C",67657736,2338514,26.123,0.903,39.469497,-80.149881,1
28900,"Fairmount, IN Urban Cluster","C",3421078,0,1.321,0,40.41618,-85.648624,1
28954,"Fairview, TN Urban Cluster","C",16048067,52936,6.196,0.02,35.960378,-87.10776,1
28981,"Fajardo, PR Urbanized Area","U",131584331,354972,50.805,0.137,18.282618,-65.711953,4
29008,"Falfurrias, TX Urban Cluster","C",5320623,0,2.054,0,27.223912,-98.14697,1
29035,"Fallon, NV Urban Cluster","C",36707719,18326,14.173,0.007,39.486754,-118.794249,15
29062,"Falls City, NE Urban Cluster","C",4786178,0,1.848,0,40.061258,-95.600286,1
29089,"Fargo, ND--MN Urbanized Area","U",181981188,52866,70.263,0.02,46.86245,-96.82068,1
29116,"Faribault, MN Urban Cluster","C",29502848,596912,11.391,0.23,44.29407,-93.281853,1
29143,"Farmersville, TX Urban Cluster","C",4979279,1099,1.923,0,33.166485,-96.362719,1
29170,"Farmerville, LA Urban Cluster","C",12937848,0,4.995,0,32.773269,-92.400835,1
29224,"Farmington, ME Urban Cluster","C",5723419,20706,2.21,0.008,44.671915,-70.148576,1
29251,"Farmington, MO Urban Cluster","C",58963384,153305,22.766,0.059,37.838181,-90.485144,1
29265,"Farmington, NH Urban Cluster","C",3614410,0,1.396,0,43.390571,-71.065085,1
29278,"Farmington, NM Urbanized Area","U",90357088,588605,34.887,0.227,36.746471,-108.162067,6
29305,"Farmville, NC Urban Cluster","C",9089461,50344,3.509,0.019,35.584367,-77.589448,1
29332,"Farmville, VA Urban Cluster","C",17857573,180777,6.895,0.07,37.286224,-78.390777,1
29359,"Fayette, AL Urban Cluster","C",7297504,0,2.818,0,33.694825,-87.830734,1
29413,"Fayette, MO Urban Cluster","C",4058635,13515,1.567,0.005,39.148113,-92.688363,1
29440,"Fayetteville, NC Urbanized Area","U",513269043,5483937,198.174,2.117,35.052625,-78.977004,1
29467,"Fayetteville, TN Urban Cluster","C",25155211,0,9.712,0,35.11547,-86.574364,1
29494,"Fayetteville--Springdale--Rogers, AR--MO Urbanized Area","U",486339193,6212541,187.777,2.399,36.267419,-94.179749,1
29510,"Fearrington Village, NC Urban Cluster","C",6024564,27265,2.326,0.011,35.800108,-79.086445,1
29521,"Federalsburg, MD Urban Cluster","C",5108270,52160,1.972,0.02,38.69612,-75.771249,1
29548,"Fellsmere, FL Urban Cluster","C",4847027,0,1.871,0,27.767934,-80.594681,1
29575,"Fergus Falls, MN Urban Cluster","C",15862692,1323127,6.125,0.511,46.288617,-96.069587,1
29602,"Fernandina Beach, FL Urban Cluster","C",62492827,81686,24.129,0.032,30.628505,-81.451376,1
29656,"Fernley, NV Urban Cluster","C",26695192,0,10.307,0,39.598047,-119.228975,15
