GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
24418	"Donalsonville, GA Urban Cluster"	C	7603893	120109	2.936	0.046	31.04095	-84.874312
24433	"Dorr, MI Urban Cluster"	C	14211655	27483	5.487	0.011	42.718041	-85.734434
24445	"Dos Palos, CA Urban Cluster"	C	5501809	0	2.124	0	36.978163	-120.633707
24472	"Dothan, AL Urbanized Area"	U	143752908	308680	55.503	0.119	31.22612	-85.425301
24499	"Douglas, AZ Urban Cluster"	C	14681111	0	5.668	0	31.350383	-109.543214
24526	"Douglas, GA Urban Cluster"	C	31068795	542636	11.996	0.21	31.511685	-82.84868
24539	"Douglas, MI Urban Cluster"	C	7327349	130134	2.829	0.05	42.649643	-86.197091
24553	"Douglas, WY Urban Cluster"	C	8348764	23518	3.223	0.009	42.753293	-105.3831
24580	"Dover, DE Urbanized Area"	U	192000317	1885136	74.132	0.728	39.141241	-75.543496
24607	"Dover--Rochester, NH--ME Urbanized Area"	U	172025675	5552539	66.419	2.144	43.226306	-70.899625
24634	"Dowagiac, MI Urban Cluster"	C	9032421	88865	3.487	0.034	41.982547	-86.108166
24646	"Downs, IL Urban Cluster"	C	5612187	2268	2.167	0.001	40.411118	-88.887834
24688	"Dryden, NY Urban Cluster"	C	10238338	49583	3.953	0.019	42.475045	-76.293878
24715	"Dublin, GA Urban Cluster"	C	58123906	543819	22.442	0.21	32.53722	-82.919988
24769	"Dublin, TX Urban Cluster"	C	5680905	0	2.193	0	32.088665	-98.342338
24796	"DuBois, PA Urban Cluster"	C	17602061	139722	6.796	0.054	41.11929	-78.76262
24823	"Dubuque, IA--IL Urbanized Area"	U	87473131	822803	33.774	0.318	42.506218	-90.691071
24850	"Duluth, MN--WI Urbanized Area"	U	182546140	22604576	70.481	8.728	46.765574	-92.12902
24877	"Dumas, AR Urban Cluster"	C	7912214	0	3.055	0	33.884793	-91.486833
24904	"Dumas, TX Urban Cluster"	C	14665957	0	5.663	0	35.868372	-101.965714
24931	"Duncan, OK Urban Cluster"	C	30410658	152410	11.742	0.059	34.515253	-97.962302
24958	"Dundee, MI Urban Cluster"	C	6428795	90764	2.482	0.035	41.95782	-83.660254
24985	"Dunkirk, IN Urban Cluster"	C	5350707	0	2.066	0	40.363795	-85.184488
25012	"Dunkirk--Fredonia, NY Urban Cluster"	C	36307544	34715	14.018	0.013	42.460506	-79.339732
25025	"Dunlap, TN Urban Cluster"	C	11348335	0	4.382	0	35.377171	-85.388175
25039	"Dunn, NC Urban Cluster"	C	29047243	36812	11.215	0.014	35.317523	-78.636505
25093	"Du Quoin, IL Urban Cluster"	C	11643554	184675	4.496	0.071	38.017557	-89.232631
25120	"Durand, MI Urban Cluster"	C	8420441	14006	3.251	0.005	42.907955	-83.985164
25147	"Durango, CO Urban Cluster"	C	24157960	85392	9.327	0.033	37.289287	-107.869874
25174	"Durant, MS Urban Cluster"	C	3806313	0	1.47	0	33.079138	-89.856737
25201	"Durant, OK Urban Cluster"	C	26250980	36865	10.136	0.014	33.999943	-96.393378
25228	"Durham, NC Urbanized Area"	U	470795672	3853814	181.775	1.488	35.980955	-78.947743
25255	"Dwight, IL Urban Cluster"	C	8758848	0	3.382	0	41.095206	-88.435536
25282	"Dyer, TN Urban Cluster"	C	6548978	0	2.529	0	36.074642	-89.004537
25309	"Dyersburg, TN Urban Cluster"	C	42582042	261467	16.441	0.101	36.06071	-89.358888
25336	"Dyersville, IA Urban Cluster"	C	6708002	0	2.59	0	42.479999	-91.117237
25363	"Eagar, AZ Urban Cluster"	C	16104675	10540	6.218	0.004	34.111854	-109.286531
25390	"Eagle, CO Urban Cluster"	C	6360365	43646	2.456	0.017	39.644584	-106.82626
25417	"Eagle Grove, IA Urban Cluster"	C	3574233	0	1.38	0	42.664604	-93.90382
25444	"Eagle Lake, TX Urban Cluster"	C	5503890	11319	2.125	0.004	29.586844	-96.331945
25480	"Eagle Mountain South, UT Urban Cluster"	C	4941506	0	1.908	0	40.30801	-112.00679
25498	"Eagle Pass, TX Urban Cluster"	C	52038862	253095	20.092	0.098	28.701708	-100.471173
25579	"Earlimart, CA Urban Cluster"	C	13034355	0	5.033	0	35.923815	-119.278771
25598	"East Aurora, NY Urban Cluster"	C	22156458	61411	8.555	0.024	42.779875	-78.598786
25660	"Eastland, TX Urban Cluster"	C	4237237	0	1.636	0	32.398199	-98.825386
25687	"East Liverpool, OH--WV--PA Urban Cluster"	C	62954676	3060519	24.307	1.182	40.643542	-80.571376
25714	"Eastman, GA Urban Cluster"	C	14617354	135191	5.644	0.052	32.194206	-83.177141
25741	"Easton, MD Urban Cluster"	C	24834614	208691	9.589	0.081	38.76689	-76.065514
25768	"East Palestine, OH Urban Cluster"	C	8437861	0	3.258	0	40.838978	-80.541664
25795	"East Prairie, MO Urban Cluster"	C	5251722	0	2.028	0	36.775651	-89.383252
25802	"East Prospect, PA Urban Cluster"	C	6255620	0	2.415	0	39.952124	-76.506388
25813	"East Quincy, CA Urban Cluster"	C	5763784	0	2.225	0	39.945309	-120.932845
25849	"East Stroudsburg, PA--NJ Urbanized Area"	U	134999669	1259732	52.124	0.486	41.022688	-75.213377
25876	"East Tawas, MI Urban Cluster"	C	8157585	0	3.15	0	44.284562	-83.492975
25903	"East Troy, WI Urban Cluster"	C	6312018	0	2.437	0	42.790992	-88.403791
25930	"Eaton, CO Urban Cluster"	C	3893283	0	1.503	0	40.529429	-104.713825
25957	"Eaton, OH Urban Cluster"	C	10129883	19264	3.911	0.007	39.748358	-84.635603
25984	"Eaton Rapids, MI Urban Cluster"	C	10334785	310138	3.99	0.12	42.505596	-84.65451
26011	"Eatonton, GA Urban Cluster"	C	8572625	0	3.31	0	33.328561	-83.388048
26024	"Eatonville, WA Urban Cluster"	C	4075184	12409	1.573	0.005	46.868226	-122.270205
26038	"Eau Claire, WI Urbanized Area"	U	178669719	12382965	68.985	4.781	44.860859	-91.447203
26065	"Ebensburg, PA Urban Cluster"	C	7359659	93310	2.842	0.036	40.484465	-78.733571
26092	"Eden, NC Urban Cluster"	C	46333871	395964	17.89	0.153	36.502122	-79.744547
26119	"Edenton, NC Urban Cluster"	C	7935629	175551	3.064	0.068	36.065841	-76.613077
26146	"Edgefield, SC Urban Cluster"	C	7071177	47298	2.73	0.018	33.785197	-81.925195
26173	"Edgerton, WI Urban Cluster"	C	13322574	485619	5.144	0.187	42.838856	-89.05599
26200	"Edgewood, NM Urban Cluster"	C	13968124	0	5.393	0	35.068313	-106.183534
26227	"Edinboro, PA Urban Cluster"	C	7244005	190424	2.797	0.074	41.876696	-80.129846
26254	"Edna, TX Urban Cluster"	C	8724324	0	3.368	0	28.975111	-96.650065
26275	"Edwards, CO Urban Cluster"	C	22005198	404188	8.496	0.156	39.644737	-106.564801
26308	"Effingham, IL Urban Cluster"	C	22187752	75128	8.567	0.029	39.120894	-88.540198
26345	"Eielson AFB, AK Urban Cluster"	C	16136045	607645	6.23	0.235	64.666431	-147.097017
26362	"Elberton, GA Urban Cluster"	C	13517576	41961	5.219	0.016	34.109944	-82.869663
26389	"El Campo, TX Urban Cluster"	C	16203743	19537	6.256	0.008	29.198508	-96.276623
26416	"El Centro--Calexico, CA Urbanized Area"	U	77833587	45518	30.052	0.018	32.769055	-115.546349
26443	"Eldon, MO Urban Cluster"	C	6893328	0	2.662	0	38.351041	-92.577313
26470	"El Dorado, AR Urban Cluster"	C	39272034	0	15.163	0	33.208572	-92.662966
26497	"Eldorado, IL Urban Cluster"	C	9458183	38715	3.652	0.015	37.815688	-88.439956
26524	"El Dorado, KS Urban Cluster"	C	23410553	11949	9.039	0.005	37.815098	-96.85048
26551	"Eldorado at Santa Fe, NM Urban Cluster"	C	18915064	0	7.303	0	35.5371	-105.92963
26578	"El Dorado Springs, MO Urban Cluster"	C	4952679	2869	1.912	0.001	37.869789	-94.023114
26632	"Electra, TX Urban Cluster"	C	4299096	0	1.66	0	34.030774	-98.919105
26659	"Elgin, TX Urban Cluster"	C	12340948	0	4.765	0	30.349494	-97.37912
26686	"Elizabeth City, NC Urban Cluster"	C	43981567	785	16.981	0	36.297071	-76.233278
26713	"Elizabethtown, NC Urban Cluster"	C	6373641	0	2.461	0	34.625482	-78.616196
26750	"Elizabethtown--Radcliff, KY Urbanized Area"	U	147348534	1296187	56.892	0.5	37.788405	-85.92103
26767	"Elk City, OK Urban Cluster"	C	16698716	0	6.447	0	35.406822	-99.413339
26794	"Elkhart, IN--MI Urbanized Area"	U	237930584	7557933	91.866	2.918	41.658247	-85.926438
26821	"Elkhorn, WI Urban Cluster"	C	26638898	170180	10.285	0.066	42.692374	-88.538204
26848	"Elkin, NC Urban Cluster"	C	17232175	68516	6.653	0.026	36.248754	-80.852281
26875	"Elkins, WV Urban Cluster"	C	15842173	0	6.117	0	38.934469	-79.846002
26902	"Elko, NV Urban Cluster"	C	26579288	0	10.262	0	40.836778	-115.772816
26912	"Elko New Market, MN Urban Cluster"	C	5913802	0	2.283	0	44.566013	-93.333923
26956	"Elkton, VA Urban Cluster"	C	8152278	52671	3.148	0.02	38.404182	-78.628305
26983	"Ellensburg, WA Urban Cluster"	C	22931890	0	8.854	0	47.001258	-120.53555
27010	"Ellenville, NY Urban Cluster"	C	8234982	12509	3.18	0.005	41.730481	-74.387697
27037	"Ellijay, GA Urban Cluster"	C	13119250	0	5.065	0	34.683566	-84.486367
27064	"Ellsworth, KS Urban Cluster"	C	3388789	0	1.308	0	38.733878	-98.227915
27070	"Ellsworth, ME Urban Cluster"	C	7225146	90163	2.79	0.035	44.538621	-68.427748
27076	"Ellsworth, WI Urban Cluster"	C	5951165	728	2.298	0	44.733436	-92.482438
27085	"Ellwood City, PA Urban Cluster"	C	15997232	497583	6.177	0.192	40.853149	-80.268213
27118	"Elmira, NY Urbanized Area"	U	97900452	1346077	37.8	0.52	42.071566	-76.809034
27172	"Elmwood, IL Urban Cluster"	C	4609106	0	1.78	0	40.776335	-89.969943
27199	"Eloy, AZ Urban Cluster"	C	7957284	7374	3.072	0.003	32.750881	-111.562575
27226	"El Paso, IL Urban Cluster"	C	4141670	0	1.599	0	40.739999	-89.014602
27253	"El Paso, TX--NM Urbanized Area"	U	649235960	2974177	250.671	1.148	31.780239	-106.389031
27261	"El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area"	U	82104777	146540	31.701	0.057	35.453541	-120.633753
27280	"El Reno, OK Urban Cluster"	C	18477127	2157	7.134	0.001	35.522928	-97.958573
27290	"Elroy, TX Urban Cluster"	C	11302350	0	4.364	0	30.128208	-97.592673
27300	"Elverson, PA Urban Cluster"	C	7411877	29195	2.862	0.011	40.154279	-75.865131
27307	"Elwood, IN Urban Cluster"	C	13452179	0	5.194	0	40.274226	-85.839502
27334	"Ely, MN Urban Cluster"	C	7012952	13787	2.708	0.005	47.905099	-91.853013
27361	"Ely, NV Urban Cluster"	C	6594761	0	2.546	0	39.248049	-114.874543
27372	"Emajagua, PR Urban Cluster"	C	14250821	3536	5.502	0.001	18.010928	-65.911486
27380	"Emerald Bay, TX Urban Cluster"	C	11383643	333362	4.395	0.129	32.148264	-95.436497
27442	"Emmetsburg, IA Urban Cluster"	C	4856533	0	1.875	0	43.113791	-94.683238
27469	"Emmett, ID Urban Cluster"	C	14633536	99602	5.65	0.038	43.877758	-116.487409
27496	"Emmitsburg, MD--PA Urban Cluster"	C	13381345	20187	5.167	0.008	39.723106	-77.360676
27523	"Emporia, KS Urban Cluster"	C	28728222	499082	11.092	0.193	38.4114	-96.19078
27550	"Emporia, VA Urban Cluster"	C	14984908	19986	5.786	0.008	36.698482	-77.545666
27577	"Emporium, PA Urban Cluster"	C	3532998	218920	1.364	0.085	41.510729	-78.243422
27592	"Enfield, NC Urban Cluster"	C	3435501	0	1.326	0	36.179194	-77.67075
27604	"England, AR Urban Cluster"	C	3947394	0	1.524	0	34.54606	-91.964499
27631	"Enid, OK Urban Cluster"	C	62146213	31297	23.995	0.012	36.401999	-97.89186
27658	"Ennis, TX Urban Cluster"	C	25307327	203889	9.771	0.079	32.332346	-96.630807
27685	"Enterprise, AL Urban Cluster"	C	92123187	151495	35.569	0.058	31.328965	-85.794087
27712	"Ephraim, UT Urban Cluster"	C	5702821	0	2.202	0	39.357377	-111.581384
27739	"Ephrata, WA Urban Cluster"	C	7519490	0	2.903	0	47.312648	-119.550208
27750	"Epping, NH Urban Cluster"	C	11650718	0	4.498	0	43.039743	-71.067012
27766	"Erie, PA Urbanized Area"	U	212929183	309038	82.212	0.119	42.08554	-80.114855
27793	"Erwin, TN Urban Cluster"	C	16814021	117653	6.492	0.045	36.143997	-82.408735
27820	"Escalon, CA Urban Cluster"	C	5098785	0	1.969	0	37.792464	-120.995505
27847	"Escanaba, MI Urban Cluster"	C	46488557	283456	17.949	0.109	45.727457	-87.082446
27874	"Espanola, NM Urban Cluster"	C	74066389	629277	28.597	0.243	35.986739	-106.085246
27885	"Esparto, CA Urban Cluster"	C	4229346	0	1.633	0	38.695279	-122.019465
27901	"Estacada, OR Urban Cluster"	C	7368822	40488	2.845	0.016	45.298665	-122.333397
27928	"Estes Park, CO Urban Cluster"	C	19406188	48606	7.493	0.019	40.363508	-105.518915
27955	"Estherville, IA Urban Cluster"	C	7461183	0	2.881	0	43.404042	-94.834568
27991	"Estrella, AZ Urban Cluster"	C	18893162	0	7.295	0	33.328768	-112.442969
28009	"Etowah, TN Urban Cluster"	C	8903243	0	3.438	0	35.337425	-84.525157
28063	"Eudora, KS Urban Cluster"	C	6497119	107100	2.509	0.041	38.934959	-95.096968
28090	"Eufaula, AL--GA Urban Cluster"	C	19290334	1481435	7.448	0.572	31.879574	-85.141788
28117	"Eugene, OR Urbanized Area"	U	224451618	982581	86.661	0.379	44.065995	-123.076636
28144	"Eunice, LA Urban Cluster"	C	21884392	78619	8.45	0.03	30.491126	-92.419264
28171	"Eunice, NM Urban Cluster"	C	2958864	0	1.142	0	32.439465	-103.159051
28198	"Eureka, CA Urban Cluster"	C	47917219	4073311	18.501	1.573	40.777356	-124.169828
28225	"Eureka, IL Urban Cluster"	C	6752564	124405	2.607	0.048	40.713988	-89.274949
28252	"Eureka, KS Urban Cluster"	C	3821322	0	1.475	0	37.823741	-96.290839
28262	"Eureka, MO Urban Cluster"	C	25481413	227	9.838	0	38.499469	-90.632649
28306	"Evanston, WY Urban Cluster"	C	18203896	90192	7.029	0.035	41.260088	-110.963739
28333	"Evansville, IN--KY Urbanized Area"	U	307696852	3246324	118.802	1.253	37.978539	-87.537393
28360	"Evansville, WI Urban Cluster"	C	7977645	0	3.08	0	42.777846	-89.296179
28387	"Evarts, KY Urban Cluster"	C	3860310	217595	1.49	0.084	36.862543	-83.204061
28414	"Everett, PA Urban Cluster"	C	4966540	48381	1.918	0.019	40.013306	-78.373013
28431	"Evergreen, AL Urban Cluster"	C	5599527	9861	2.162	0.004	31.429395	-86.95576
28441	"Evergreen, CO Urban Cluster"	C	35209518	233872	13.594	0.09	39.658971	-105.311342
28468	"Everson, WA Urban Cluster"	C	7963223	120869	3.075	0.047	48.908535	-122.346098
28495	"Excelsior Springs, MO Urban Cluster"	C	18032700	136561	6.962	0.053	39.344176	-94.233468
28522	"Fabens, TX Urban Cluster"	C	4336906	5386	1.674	0.002	31.505886	-106.153246
28549	"Fairbanks, AK Urbanized Area"	U	142781615	4397656	55.128	1.698	64.846292	-147.711366
28576	"Fairbury, IL Urban Cluster"	C	3805389	0	1.469	0	40.746233	-88.512996
28603	"Fairbury, NE Urban Cluster"	C	5206044	0	2.01	0	40.142345	-97.177569
28624	"Fairdale, PA Urban Cluster"	C	9122618	15557	3.522	0.006	39.883491	-79.961893
28657	"Fairfield, CA Urbanized Area"	U	102208551	339049	39.463	0.131	38.259143	-122.036061
28684	"Fairfield, IL Urban Cluster"	C	7409989	57661	2.861	0.022	38.380474	-88.369217
28711	"Fairfield, IA Urban Cluster"	C	17839379	346137	6.888	0.134	41.009422	-91.95404
28738	"Fairfield, TX Urban Cluster"	C	11872138	0	4.584	0	31.725269	-96.16908
28765	"Fairfield Glade, TN Urban Cluster"	C	16193506	1598190	6.252	0.617	36.031454	-84.87053
28782	"Fairfield Harbour, NC Urban Cluster"	C	5869004	362648	2.266	0.14	35.078938	-76.970761
28819	"Fair Haven, VT Urban Cluster"	C	8707570	49030	3.362	0.019	43.602144	-73.240217
28846	"Fairmont, MN Urban Cluster"	C	16670390	4772910	6.436	1.843	43.640051	-94.466611
28860	"Fairmont, NC Urban Cluster"	C	5004454	0	1.932	0	34.496694	-79.116052
28873	"Fairmont, WV Urban Cluster"	C	67657736	2338514	26.123	0.903	39.469497	-80.149881
28900	"Fairmount, IN Urban Cluster"	C	3421078	0	1.321	0	40.41618	-85.648624
28954	"Fairview, TN Urban Cluster"	C	16048067	52936	6.196	0.02	35.960378	-87.10776
28981	"Fajardo, PR Urbanized Area"	U	131584331	354972	50.805	0.137	18.282618	-65.711953
29008	"Falfurrias, TX Urban Cluster"	C	5320623	0	2.054	0	27.223912	-98.14697
29035	"Fallon, NV Urban Cluster"	C	36707719	18326	14.173	0.007	39.486754	-118.794249
29062	"Falls City, NE Urban Cluster"	C	4786178	0	1.848	0	40.061258	-95.600286
29089	"Fargo, ND--MN Urbanized Area"	U	181981188	52866	70.263	0.02	46.86245	-96.82068
29116	"Faribault, MN Urban Cluster"	C	29502848	596912	11.391	0.23	44.29407	-93.281853
29143	"Farmersville, TX Urban Cluster"	C	4979279	1099	1.923	0	33.166485	-96.362719
29170	"Farmerville, LA Urban Cluster"	C	12937848	0	4.995	0	32.773269	-92.400835
29224	"Farmington, ME Urban Cluster"	C	5723419	20706	2.21	0.008	44.671915	-70.148576
29251	"Farmington, MO Urban Cluster"	C	58963384	153305	22.766	0.059	37.838181	-90.485144
29265	"Farmington, NH Urban Cluster"	C	3614410	0	1.396	0	43.390571	-71.065085
29278	"Farmington, NM Urbanized Area"	U	90357088	588605	34.887	0.227	36.746471	-108.162067
29305	"Farmville, NC Urban Cluster"	C	9089461	50344	3.509	0.019	35.584367	-77.589448
29332	"Farmville, VA Urban Cluster"	C	17857573	180777	6.895	0.07	37.286224	-78.390777
29359	"Fayette, AL Urban Cluster"	C	7297504	0	2.818	0	33.694825	-87.830734
29413	"Fayette, MO Urban Cluster"	C	4058635	13515	1.567	0.005	39.148113	-92.688363
29440	"Fayetteville, NC Urbanized Area"	U	513269043	5483937	198.174	2.117	35.052625	-78.977004
29467	"Fayetteville, TN Urban Cluster"	C	25155211	0	9.712	0	35.11547	-86.574364
29494	"Fayetteville--Springdale--Rogers, AR--MO Urbanized Area"	U	486339193	6212541	187.777	2.399	36.267419	-94.179749
29510	"Fearrington Village, NC Urban Cluster"	C	6024564	27265	2.326	0.011	35.800108	-79.086445
29521	"Federalsburg, MD Urban Cluster"	C	5108270	52160	1.972	0.02	38.69612	-75.771249
29548	"Fellsmere, FL Urban Cluster"	C	4847027	0	1.871	0	27.767934	-80.594681
29575	"Fergus Falls, MN Urban Cluster"	C	15862692	1323127	6.125	0.511	46.288617	-96.069587
29602	"Fernandina Beach, FL Urban Cluster"	C	62492827	81686	24.129	0.032	30.628505	-81.451376
29656	"Fernley, NV Urban Cluster"	C	26695192	0	10.307	0	39.598047	-119.228975
29683	"Ferriday, LA Urban Cluster"	C	11659127	0	4.502	0	31.6388	-91.556864
29698	"Filer, ID Urban Cluster"	C	2887722	1682	1.115	0.001	42.565842	-114.613149
29710	"Fillmore, CA Urban Cluster"	C	6965786	1775	2.69	0.001	34.4019	-118.91565
29737	"Findlay, OH Urban Cluster"	C	61859800	311419	23.884	0.12	41.052566	-83.64058
29764	"Firebaugh, CA Urban Cluster"	C	3757148	0	1.451	0	36.860053	-120.459006
29775	"Firestone--Frederick, CO Urban Cluster"	C	26308540	189947	10.158	0.073	40.118804	-104.944081
29791	"Fitzgerald, GA Urban Cluster"	C	22782575	539788	8.796	0.208	31.712975	-83.257838
29818	"Flagstaff, AZ Urbanized Area"	U	90175231	14636	34.817	0.006	35.203032	-111.624792
29845	"Flemingsburg, KY Urban Cluster"	C	5188245	11829	2.003	0.005	38.423585	-83.734951
29872	"Flint, MI Urbanized Area"	U	610951944	18777615	235.89	7.25	42.988756	-83.694698
29899	"Flora, IL Urban Cluster"	C	5888562	0	2.274	0	38.671795	-88.485936
29953	"Florence, AL Urbanized Area"	U	160919144	2038069	62.131	0.787	34.74708	-87.676087
29980	"Florence, AZ Urban Cluster"	C	7502779	1075	2.897	0	33.060988	-111.376412
30007	"Florence, CO Urban Cluster"	C	10075208	0	3.89	0	38.359104	-105.098177
30034	"Florence, OR Urban Cluster"	C	18788582	57546	7.254	0.022	43.994236	-124.108268
30061	"Florence, SC Urbanized Area"	U	183897921	1315963	71.003	0.508	34.203177	-79.809769
30088	"Floresville, TX Urban Cluster"	C	9701016	13906	3.746	0.005	29.14131	-98.156623
30115	"Florida--Imbéry--Barceloneta, PR Urbanized Area"	U	118649295	58159	45.811	0.022	18.417749	-66.599266
30142	"Floydada, TX Urban Cluster"	C	4296958	0	1.659	0	33.983179	-101.338075
30171	"Foley, AL Urban Cluster"	C	78364266	3380246	30.257	1.305	30.349787	-87.686189
30196	"Folkston, GA Urban Cluster"	C	12444425	166069	4.805	0.064	30.839274	-82.002682
30223	"Fond du Lac, WI Urbanized Area"	U	74812564	847300	28.885	0.327	43.781484	-88.441302
30250	"Fordyce, AR Urban Cluster"	C	10805276	0	4.172	0	33.81698	-92.418587
30277	"Forest, MS Urban Cluster"	C	9342388	0	3.607	0	32.365026	-89.473093
30304	"Forest City, IA Urban Cluster"	C	6834312	0	2.639	0	43.261465	-93.640283
30331	"Forest City, NC Urban Cluster"	C	90868612	213173	35.085	0.082	35.330746	-81.877374
30358	"Forest Lake, MN Urban Cluster"	C	46338108	12487912	17.891	4.822	45.285152	-92.960338
30385	"Forestville, CA Urban Cluster"	C	11224862	71200	4.334	0.027	38.486817	-122.90562
30412	"Forks, WA Urban Cluster"	C	6294155	0	2.43	0	47.950827	-124.382458
30439	"Forney, TX Urban Cluster"	C	48386764	75353	18.682	0.029	32.733064	-96.432937
30466	"Forrest City, AR Urban Cluster"	C	15083640	29094	5.824	0.011	35.009508	-90.785982
30493	"Forsyth, GA Urban Cluster"	C	10641637	41821	4.109	0.016	33.039209	-83.947849
30520	"Forsyth, MO Urban Cluster"	C	14830752	21828	5.726	0.008	36.71569	-93.173816
30547	"Fort Atkinson, WI Urban Cluster"	C	28969547	845853	11.185	0.327	42.992731	-88.814383
30574	"Fort Bragg, CA Urban Cluster"	C	20220443	498318	7.807	0.192	39.422456	-123.786707
30601	"Fort Branch, IN Urban Cluster"	C	4794011	47251	1.851	0.018	38.241076	-87.580317
30628	"Fort Collins, CO Urbanized Area"	U	284208859	14509419	109.734	5.602	40.499545	-105.058836
30655	"Fort Defiance, AZ--NM Urban Cluster"	C	7463499	0	2.882	0	35.744137	-109.059699
30682	"Fort Dodge, IA Urban Cluster"	C	33106645	138465	12.783	0.053	42.510479	-94.183965
30736	"Fort Irwin, CA Urban Cluster"	C	7751667	0	2.993	0	35.26146	-116.690324
30748	"Fort Leonard Wood, MO Urban Cluster"	C	67167573	123267	25.934	0.048	37.830937	-92.123999
30755	"Fort Lupton, CO Urban Cluster"	C	13796352	0	5.327	0	40.088059	-104.794704
30763	"Fort Madison, IA--IL Urban Cluster"	C	10843808	28886	4.187	0.011	40.629756	-91.334287
30790	"Fort Meade, FL Urban Cluster"	C	14527567	487228	5.609	0.188	27.75587	-81.795336
30817	"Fort Morgan, CO Urban Cluster"	C	12789780	0	4.938	0	40.251668	-103.800061
30844	"Fort Payne, AL Urban Cluster"	C	11203745	13274	4.326	0.005	34.455314	-85.708618
30858	"Fort Plain, NY Urban Cluster"	C	9757872	363361	3.768	0.14	42.917788	-74.5981
30871	"Fort Polk, LA Urban Cluster"	C	33437456	34433	12.91	0.013	31.067248	-93.213775
30898	"Fort Scott, KS Urban Cluster"	C	10837276	12152	4.184	0.005	37.830598	-94.703504
30925	"Fort Smith, AR--OK Urbanized Area"	U	183269934	2581402	70.761	0.997	35.307922	-94.413604
30952	"Fort Stockton, TX Urban Cluster"	C	15366150	0	5.933	0	30.892709	-102.882701
30979	"Fortuna, CA Urban Cluster"	C	22505086	123	8.689	0	40.579704	-124.142384
31033	"Fort Valley, GA Urban Cluster"	C	12537864	32622	4.841	0.013	32.550906	-83.889126
31060	"Fort Walton Beach--Navarre--Wright, FL Urbanized Area"	U	312424830	26270159	120.628	10.143	30.432627	-86.669611
31087	"Fort Wayne, IN Urbanized Area"	U	445826705	1082934	172.135	0.418	41.100389	-85.138898
31114	"Fostoria, OH Urban Cluster"	C	17132494	211562	6.615	0.082	41.159923	-83.413684
31150	"Four Corners, FL Urban Cluster"	C	87056831	6275633	33.613	2.423	28.378979	-81.660368
31158	"Four Corners, MT Urban Cluster"	C	7945028	111010	3.068	0.043	45.662389	-111.191923
31168	"Fowlerville, MI Urban Cluster"	C	9571239	109110	3.695	0.042	42.656371	-84.08599
31195	"Frankenmuth, MI Urban Cluster"	C	7118156	6537	2.748	0.003	43.332753	-83.737571
31222	"Frankfort, IN Urban Cluster"	C	20056799	0	7.744	0	40.283259	-86.514912
31249	"Frankfort, KY Urban Cluster"	C	55870341	990202	21.572	0.382	38.193914	-84.821102
31276	"Franklin, KY Urban Cluster"	C	13939910	23076	5.382	0.009	36.725774	-86.581032
31303	"Franklin, LA Urban Cluster"	C	27200015	420985	10.502	0.163	29.803285	-91.504414
31330	"Franklin, NH Urban Cluster"	C	16536223	282013	6.385	0.109	43.445618	-71.622554
31384	"Franklin, NC Urban Cluster"	C	23675772	604197	9.141	0.233	35.185699	-83.384666
31411	"Franklin (Venango County), PA Urban Cluster"	C	16104943	226255	6.218	0.087	41.396058	-79.838301
31438	"Franklin, VA Urban Cluster"	C	17739722	91870	6.849	0.035	36.681452	-76.938609
31450	"Franklin--Highland Lake, NJ Urban Cluster"	C	84345184	3316986	32.566	1.281	41.169639	-74.545664
31465	"Franklinton, LA Urban Cluster"	C	7414889	7995	2.863	0.003	30.846598	-90.148295
31478	"Fraser, CO Urban Cluster"	C	5787256	0	2.234	0	39.936006	-105.798892
31492	"Frazier Park, CA Urban Cluster"	C	6539862	5006	2.525	0.002	34.818759	-118.944922
31519	"Frederick, MD Urbanized Area"	U	190194191	1234972	73.434	0.477	39.415817	-77.408163
31546	"Frederick, OK Urban Cluster"	C	5771782	0	2.228	0	34.391193	-99.014399
31573	"Fredericksburg, TX Urban Cluster"	C	19592394	16099	7.565	0.006	30.273813	-98.869231
31600	"Fredericksburg, VA Urbanized Area"	U	201881410	1708892	77.947	0.66	38.282122	-77.508156
31627	"Fredericktown, MO Urban Cluster"	C	6048893	8668	2.335	0.003	37.561065	-90.289915
31681	"Freeport, IL Urban Cluster"	C	36017544	178676	13.906	0.069	42.293495	-89.63027
31735	"Fremont, MI Urban Cluster"	C	8160458	46808	3.151	0.018	43.465758	-85.951597
31762	"Fremont, NE Urban Cluster"	C	28244705	1080047	10.905	0.417	41.440935	-96.494819
31789	"Fremont, OH Urban Cluster"	C	31843445	760107	12.295	0.293	41.349654	-83.118293
31843	"Fresno, CA Urbanized Area"	U	443800940	387181	171.353	0.149	36.787755	-119.761114
31870	"Friona, TX Urban Cluster"	C	3512243	0	1.356	0	34.639737	-102.72174
31897	"Fritch, TX Urban Cluster"	C	8746351	0	3.377	0	35.638354	-101.591638
31924	"Front Royal, VA Urban Cluster"	C	44581352	570660	17.213	0.22	38.93311	-78.165713
31978	"Frostproof, FL Urban Cluster"	C	19873221	4987868	7.673	1.926	27.733078	-81.559135
32032	"Fulton, KY--TN Urban Cluster"	C	7299130	45758	2.818	0.018	36.504438	-88.879996
